"country","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","daily_vaccinations_per_million","BBIBP-CorV","Oxford/AstraZeneca","Pfizer/BioNTech","Sinovac","Sputnik V","Sinopharm/Beijing","Johnson&Johnson","Moderna","Covaxin","CanSino","Sinopharm/Wuhan","Abdala","Soberana02","QazVac","Sinopharm/HayatVax","EpiVacCorona","RBD-Dimer","Region","Surface area (km2)","Population in thousands (2017)","Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)","GDP: Gross domestic product (million current US$)","GDP growth rate (annual %, const. 2005 prices)","GDP per capita (current US$)","Economy: Agriculture (% of GVA)","Economy: Industry (% of GVA)","Economy: Services and other activity (% of GVA)","Employment: Agriculture (% of employed)","Employment: Industry (% of employed)","Employment: Services (% of employed)","Unemployment (% of labour force)","Agricultural production index (2004-2006=100)","Food production index (2004-2006=100)","International trade: Exports (million US$)","International trade: Imports (million US$)","International trade: Balance (million US$)","Balance of payments, current account (million US$)","Population growth rate (average annual %)","Urban population (% of total population)","Urban population growth rate (average annual %)","Fertility rate, total (live births per woman)","Refugees and others of concern to UNHCR (in thousands)","Infant mortality rate (per 1000 live births","Health: Total expenditure (% of GDP)","Education: Government expenditure (% of GDP)","Seats held by women in national parliaments %","Mobile-cellular subscriptions (per 100 inhabitants)","Individuals using the Internet (per 100 inhabitants)","Threatened species (number)","CO2 emission estimates (million tons/tons per capita)","Energy production, primary (Petajoules)","Pop. using improved sanitation facilities (urban/rural, %)"
"Madagascar",188752,188752,,8834,0.68,0.68,,319,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"EasternAfrica",587295,25571,44,99.5,9739,3.1,401.8,24.9,18.4,56.7,74.2,9.4,16.5,2.3,119,120,2256,2965,-709,-622,2.7,35.1,4.7,4.4,0.1,36.8,3,2.1,19.2,4.2,1324,21.5,129,7,7.05
"Malawi",426356,384671,41685,4720,2.23,2.01,0.22,247,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"EasternAfrica",118484,18622,197.5,98.2,6420,3,372.9,26.1,16.6,57.3,69.9,4.8,25.4,6.8,149,150,875,1649,-774,-710,2.9,16.3,3.8,4.9,25.7,66.5,11.4,5.6,16.7,9.3,176,33.6,89,6,16.53
"Malaysia",6301727,4574685,1727042,199660,19.47,14.13,5.34,6169,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,"South-easternAsia",330323,31624,96.3,106.7,296284,5,9768.4,8.6,39.6,51.8,11.8,27.3,60.9,3.3,122,130,189414,168375,21039,8960,1.8,74.7,2.7,2.1,238.6,6.5,4.2,5,10.4,71.1,1272,67.5,3738,118,0
"Maldives",500485,315620,184865,813,92.59,58.39,34.2,1504,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,"SouthernAsia",300,436,1454.4,131.8,3435,2.8,9446.5,3.1,22,74.9,7.7,22.8,69.5,2.9,65,65,140,2128,-1988,-326,2.8,45.5,4.5,2.2,-99,9,13.7,5.2,5.9,54.5,75,3.3,0,54,0.95
"Mali",176038,130574,45464,2049,0.87,0.64,0.22,101,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"WesternAfrica",1240192,18542,15.2,100.2,13100,7.6,744.3,39.9,19.6,40.5,56.7,14.7,28.6,8.1,154,157,3030,2510,520,-676,2.9,39.9,5.1,6.4,90.8,78.5,7,3.7,8.8,10.3,42,3.9,55,4,9.45
"Malta",636059,353584,294650,4575,144.05,80.08,66.73,10361,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,"SouthernEurope",315,431,1346.4,100.9,9747,6.2,23280.7,1.4,15,83.6,1.2,20.9,77.9,5.4,96,96,4039,7182,-3143,539,0.5,95.4,0.5,1.4,8.1,4.8,9.7,7.8,12.5,76.2,39,1.1,1,78,-99
"Mauritania",136003,129020,6983,12831,2.93,2.77,0.15,2760,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"WesternAfrica",1030700,4420,4.3,101.6,5023,1.2,1235,20.9,41.7,37.4,40.3,9.5,50.2,12,125,125,1623,2174,-551,-1066,2.9,59.9,3.5,4.9,69,68,3.8,2.9,25.2,15.2,86,0.2,31,13,5.02
"Mauritius",598863,380362,218501,11968,47.09,29.91,17.18,9411,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,"EasternAfrica",1969,1265,623.2,97.9,11511,3.5,9040.9,2.9,22.7,74.4,7.3,25.2,67.5,7.6,96,96,2194,4655,-2461,-566,0.2,39.7,-0.1,1.5,-99,12,4.8,4.9,11.6,50.1,257,19,10,51,0.67
"Mexico",41368066,28590500,17463895,445643,32.08,22.17,13.54,3456,false,true,true,true,true,false,false,false,false,true,false,false,false,false,false,false,false,"CentralAmerica",1964375,129163,66.4,99.2,1140724,2.5,8980.9,3.6,36,60.4,13.4,25.2,61.3,4.1,120,120,373883,387064,-13181,-33216,1.4,79.2,1.6,2.3,5.9,18.8,6.3,5.3,42.6,57.4,1162,34,8514,62,0.03
"Monaco",33965,18836,15129,313,86.55,48,38.55,7976,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"WesternEurope",2,39,25969.8,94.7,6258,5.4,165870.6,-99,13.4,86.6,-99,-99,-99,"...",-99,-99,-99,-99,-99,-99,0.6,100,0.8,-99,"~0.0",-99,4.3,1,20.8,93.4,21,-99,-99,-99,-99
